step,time_sec
0,0.0361172
1,0.0354659
2,0.0355259
3,0.0354824
4,0.035507
5,0.0354927
6,0.035482
7,0.0354776
8,0.0354551
9,0.0354935
10,0.0354767
11,0.035518
12,0.0354526
13,0.0354858
14,0.0354515
15,0.0355027
16,0.0354509
17,0.0354742
18,0.0354643
19,0.0354474
20,0.0354624
21,0.0355098
22,0.0355685
23,0.035463
24,0.0354776
25,0.035452
26,0.0354978
27,0.0354614
28,0.0354776
29,0.0354581
30,0.0354543
31,0.0354594
32,0.0354768
33,0.035498
34,0.0354479
35,0.0354522
36,0.0354543
37,0.0354795
38,0.0355022
39,0.0354609
40,0.0355364
41,0.0354615
42,0.0354523
43,0.0354653
44,0.0355182
45,0.0354677
46,0.035485
47,0.0354542
48,0.0354919
49,0.0354675
total,1.8059
average_per_step,0.0354907
