step,time_sec
0,0.0442365
1,0.0440478
2,0.0440464
3,0.0441313
4,0.0440564
5,0.0440321
6,0.0440371
7,0.0440568
8,0.0440351
9,0.0440484
10,0.0440454
11,0.0440435
12,0.0440973
13,0.0440514
14,0.0440511
15,0.0440501
16,0.0440591
17,0.0439924
18,0.0544849
19,0.0440485
20,0.0441129
21,0.0440542
22,0.0440451
23,0.0440364
24,0.0440543
25,0.0440391
26,0.0440588
27,0.0440415
28,0.0440311
29,0.0440179
30,0.0440219
31,0.0440579
32,0.0440465
33,0.0440984
34,0.0440407
35,0.0440398
36,0.044054
37,0.0440433
38,0.0440436
39,0.0440087
40,0.0440432
41,0.0440562
42,0.0440902
43,0.0440358
44,0.0440487
45,0.0440431
46,0.0440509
47,0.0440548
48,0.0440271
49,0.0440476
total,2.26243
average_per_step,0.0442619
