step,time_sec
0,2.39172
1,2.39117
2,2.39107
3,2.39112
4,2.39135
5,2.39134
6,2.39112
7,2.39124
8,2.39108
9,2.39141
10,2.39113
11,2.39121
12,2.39126
13,2.39118
14,2.39117
15,2.39134
16,2.39131
17,2.39128
18,2.39111
19,2.39107
20,2.39131
21,2.3911
22,2.39111
23,2.39118
24,2.39114
25,2.39136
26,2.3912
27,2.39133
28,2.39145
29,2.39117
30,2.39126
31,2.39119
32,2.39149
33,2.39143
34,2.39159
35,2.39143
36,2.39133
37,2.3912
38,2.39132
39,2.39115
40,2.39124
41,2.39134
42,2.39117
43,2.39129
44,2.39137
45,2.39133
46,2.39127
47,2.39115
48,2.39132
49,2.39141
total,127.677
average_per_step,2.39127
