step,time_sec
0,0.630659
1,0.566381
2,0.50203
3,0.453561
4,0.455712
5,0.581557
6,0.624126
7,0.50588
8,0.482175
9,0.45527
10,0.461154
11,0.450155
12,0.456281
13,0.448882
14,0.449459
15,0.449834
16,0.450487
17,0.449243
18,0.454128
19,0.454358
20,0.44998
21,0.45027
22,0.45047
23,0.449796
24,0.449471
25,0.449722
26,0.451782
27,0.449243
28,0.44984
29,0.449782
30,0.451249
31,0.4511
32,0.450134
33,0.449225
34,0.45007
35,0.450031
36,0.449614
37,0.449924
38,0.449965
39,0.45041
40,0.450541
41,0.456457
42,0.451081
43,0.451682
44,0.454138
45,0.449965
46,0.450286
47,0.449768
48,0.449263
49,0.450287
total,24.9476
average_per_step,0.465938
