step,time_sec
0,0.410623
1,0.412371
2,0.410854
3,0.412147
4,0.410543
5,0.41061
6,0.412108
7,0.41015
8,0.410836
9,0.411579
10,0.411782
11,0.412954
12,0.410482
13,0.410592
14,0.410283
15,0.410336
16,0.412683
17,0.410153
18,0.412227
19,0.410622
20,0.410433
21,0.41099
22,0.41156
23,0.410498
24,0.411904
25,0.411373
26,0.411168
27,0.412069
28,0.410432
29,0.412427
30,0.410411
31,0.412221
32,0.41152
33,0.411957
34,0.411514
35,0.411654
36,0.411684
37,0.410621
38,0.411747
39,0.412714
40,0.412699
41,0.411649
42,0.411052
43,0.412164
44,0.410324
45,0.411733
46,0.411526
47,0.41207
48,0.411596
49,0.410809
total,22.1569
average_per_step,0.411369
