step,time_sec
0,0.114772
1,0.114509
2,0.114526
3,0.11449
4,0.114331
5,0.115266
6,0.115386
7,0.115395
8,0.115247
9,0.115364
10,0.115153
11,0.115221
12,0.115254
13,0.115376
14,0.115737
15,0.115439
16,0.115408
17,0.115412
18,0.115432
19,0.115409
20,0.115133
21,0.115377
22,0.115267
23,0.115257
24,0.115339
25,0.115409
26,0.115389
27,0.115265
28,0.115151
29,0.114416
30,0.114347
31,0.114198
32,0.114272
33,0.114392
34,0.114242
35,0.114168
36,0.114376
37,0.114395
38,0.114224
39,0.114216
40,0.115286
41,0.115332
42,0.115445
43,0.115384
44,0.114651
45,0.114285
46,0.114631
47,0.114621
48,0.114483
49,0.11436
total,6.27205
average_per_step,0.114929
